UNM_BANNER_ID,HED_HIGH_SCHOOL_CODE,INSTITUTION_NAME,STREET_LINE1,STREET_LINE2,STREET_LINE3,CITY,STATE_PROVINCE
100883757,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100829450,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100674838,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100710913,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100616669,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100497557,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100548213,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100588340,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100477250,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100350079,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100248873,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
100012941,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101644179,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101660238,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101671678,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101664550,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101645757,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101645603,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101647708,320008,DEL NORTE HIGH SCHOOL,5323 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101763590,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101745382,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101731444,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101734494,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101761451,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101738507,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101738498,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101728877,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101731027,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101744296,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101760407,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101738239,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101738232,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
101738203,320009,ELDORADO HIGH SCHOOL,11300 MONTGOMERY BLVD NE,,,ALBUQUERQUE,NM
